date	available	listing_id
04aug2017	1788	3585
05aug2017	1786	3585
06aug2017	1790	3585
07aug2017	1785	3585
08aug2017	1787	3585
09aug2017	1787	3585
10aug2017	1787	3585
11aug2017	1790	3585
12aug2017	1789	3585
13aug2017	1791	3585
14aug2017	1790	3585
15aug2017	1791	3585
16aug2017	1791	3585
17aug2017	1793	3585
18aug2017	1796	3585
19aug2017	1797	3585
20aug2017	1796	3585
21aug2017	1797	3585
22aug2017	1799	3585
23aug2017	1801	3585
24aug2017	1801	3585
25aug2017	1801	3585
26aug2017	1801	3585
27aug2017	1796	3585
28aug2017	1794	3585
29aug2017	1796	3585
30aug2017	1795	3585
31aug2017	1797	3585
01sep2017	1795	3585
02sep2017	1798	3585
03sep2017	1802	3585
04sep2017	1801	3585
05sep2017	1801	3585
